type,FFT
machinename,04700987
materialnumber,DEMOPART
Device,C1-Spindle X
sensor,0
frequence resolution,9,765625
spectrumcount,1
green,1
yellow,1
red,1
workstep,4
1,02:00:00
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0

